Tweet	French	Wolof	English	Arabic	Emoji	Sereer	Pulaar	Other	
@XXXX Diné gyi def ma nior beug na tabakh benene sakh		2							
@XXXX @XXXX Comme ca ma oubii yone bi sakh	1	2							
@XXXX Salal sokhna si on se connait ??	1	1							
Sur 2 personnes; 3 sont hypocrites ici . Bonne nuit.	2								
Defois on veux grave dormir mais les sorciers de nos  villages nous envoi des moustique😑😑purééée	2				1				
@XXXX Falay moudiou amoo nieurign nakaté😪		2			1				
There are so many things you need to avoid when talking/interacting/living with someone depressive.  Je trouve qu’i… https://t.co/aKb6LM3DJz	1		2						
Tapette*	2								
@XXXX Cops mey nelawi mo geun woor		2	1						
@XXXX Bon anniversaire 🎊🎉	2				1				
US Ouakam : le président Abdoul Aziz Guèye annonce son départ https://t.co/NevI7QX5hq	2								
#NowPlaying Unknown - Zikrullah Dahira Rufisque BST 2018.mp3									
@XXXX @XXXX @XXXX La reponse est dans ta question...	2								
@XXXX Bon anniversaire 🎊🎉	2				1				
@XXXX Deet do livreur ?😫		2			1				
@XXXX Les 18- 30 ans sont ou ? on veut les entendre! Durant le recensemment en cours on a du forcer les je… https://t.co/FxixWINSYs	2								
C’est mieux je dors. Je verrais dans les jours à venir	2								
Il m’envoie encore ? Yeh 😭..	2				1			1	
@XXXX @XXXX @XXXX @XXXX @XXXX https://t.co/WeltDDqW7m									
Allah ilaha ilallah la ilaha ilallah😭😭😭				2	1				
Ndeysane laal neu replis stratégique ! Beugouma tapete mane !!	1	2							
@XXXX @XXXX Bayil ma kii rk😅		2			1				
Salut Coach GORA; je veux vraiment parler un bon anglais. On m’a dit que tu es le meilleur.  Moi: https://t.co/qAIFREBWM2	2								
@XXXX @XXXX 😍😍 Thanks Angel Face 😊			2		1				
🏴‍☠️ https://t.co/EucEeVYuYr					2				
@XXXX Wouyyyy ils ont dead ça😅😅😅 guys yi danio dèg😅😅😅😅mbaye barrage kayyyyh.	1	2	1		1				
@XXXX Revoir tes sorties médiatiques et essaie de parfaire ta communication. Toutes les choses qu’ils te… https://t.co/D87L3HlJDM	2		1						
@XXXX Bon anniversaire 🎉🎊	1				1				
@XXXX Thanks bro ✌🏾😭			2		1				
@XXXX Damko fatei😭		2			1				
🔥					2				
'@XXXX Le plus important c''est que les jeunes s''organisent pour que leurs visions; leurs ambitions soient p… https://t.co/ApG8Y9521f'	2								
@XXXX @XXXX Kii mo niou topei mboro sii bopam		2							
Sorry; I am back in the future https://t.co/VpjMyRVMRm			2						
@XXXX Trop mm	2								
XXXX🥰🤣🤣🤣🤌🏾🤌🏾🤌🏾🤌🏾🥰					2				
@XXXX Lolou mom gorei woul		2							
@XXXX @XXXX 😭😭 bari gua si morom		2			1				
@XXXX Parce que les acteurs de la revolution soudanaise avaient ete associes des le depart... ce qui ne fut pas… https://t.co/aYKp3vgBw4	2								
@XXXX @XXXX @XXXX 😭😭😭🤣					2				
@XXXX Bonne nuit	2								
@XXXX Elle est nulle oft	2								
@XXXX Boy goudii na teudil toom ya travail		2							
@XXXX Hee teudil		2							
Tameu couchant bakhoul fou heure bi djotei sa birbi doula may jamm wepepeee😭😭😭	1	2			1			1	
https://t.co/stY39CWvav									
Sénégal - Congo / Krepin Diatta : "On pouvait tuer le match plus tôt..." https://t.co/pcUpHp6NnR https://t.co/tLyz86Lf7l	2								
Hasbi bihi wa bi Taha Hasbi bi Cheikhi Tijani ❤️ https://t.co/u1ryoRrNUe		2		1	1				
Il a parlé et bien même 🔥🔥@Erda____	2				1				
Mondial 2022 : Le Ghana assure sa place en barrages https://t.co/rMmFwOuokp	2								
Deux contrôles de suite demain(on a mm pas révisé) https://t.co/Vo7IgTLGjq	2								
@XXXX Aussi vicieux que pouvait être khadafi il n’a pas fait pire que l’Occident en matière de crime contre… https://t.co/QyxVSv81dW	2								
@XXXX Ma niawlou ??		2							
Hashta 🍦🍨 https://t.co/w5JT4BKVq8					2			1	
@XXXX @XXXX @XXXX @XXXX Mais comme on a pris des engagements aupres de la Communaute Internati… https://t.co/uHYXY342JN	2								
😭😭😭😭😭 https://t.co/RDXDE5ewWX					2				
@XXXX 😭😭😭 Bro noto way 😂		2	1		2				
👀 https://t.co/ITAzIJmbMK					2				
@XXXX Xam xam da yaatu		2							
'tete de oim j''vais pas assumer dans 5h'	2								
@XXXX 😂					2				
@XXXX Nako nieup yeuk 😭😍❤️		2			1				
'@XXXX @XXXX "Ils surfent sur 1 certain courant 2 l''opinion publique malienne qui veut que les militaires russes… https://t.co/oBHMN7lwT4'	2								
https://t.co/MmRH2o0PFR https://t.co/QSJ0ANKDmZ									
#NouvellePhotoDeProfil ❤️ @XXXX https://t.co/bvZcB1hXGQ	2				1				
Bamba gars yi mayougn Ko Dara si daales yi 😂😂😂	1	2			1				
La Une de votre quotidien Les Échos du Lundi 15 Novembre 2021. Bonne Lecture   #LesEchos #LeGrandJournal… https://t.co/QdHgQZcD7v	2								
@XXXX Amine 🙏🏾❤️❤️❤️ On se sait amigaaa 🤩	2				1			1	
@XXXX Merci grand. Yup Keur Massar.		2							
Cheikhou Kouyaté : " On va se préparer pour la CAN avant de passer aux barrages..." https://t.co/RjxYI5rIDZ https://t.co/yBmTymwXWA	2								
Alioune Badara Faty (Casa Sport) : " On va se battre pour revenir en sélection..." https://t.co/YyayD3uL8L https://t.co/61B42mXova	2								
Après vous dites que wolof n’est pas une ethnie mais une langue ; guisna noumou metter😭 https://t.co/IUNgmkH2Uu	2	1			1				wolof ethnie
'@XXXX @XXXX Croisons les doigts. Au top physiquement; Nampalys est un bon milieu. Je le suis depuis ses années à l''OGC Nice.'	2								
@XXXX Absolument !	2								
'@XXXX @XXXX "Le vrai problème; c''est que le recours à Wagner ne sera pas sans conséquence; d''une part pour les p… https://t.co/7r0zmlRFpz'	2								
@XXXX @XXXX C’est parce qu’on n’a mentionné Messi que j’ai commenté sinon l’autre m’en blc. Et pas… https://t.co/OPQF6z5k4X	2								
@XXXX Bon anniversaire ma chère borom flow bi ak masque bi ak carreau bi😁 Longue fils 🙏 Enjoy it 🤩🥳🎂	1	1	1		1				mixed, tie
@XXXX 😂😂😂Adja peuzy bakhnaa		2			2			1	
'@XXXX J''ai lu ça dans l''interview d''ailleurs son voyage avait un rapport avec sa thèse'	2								
Seukheutt ba samay nelaw naaw		2							
@XXXX Wa bakhna ladioumala 😂		2			1				
@XXXX @XXXX @XXXX PAC est plus titulaire cette annei pa rappor à Ousseynou ba	2								
@XXXX https://t.co/hbQKg4g55Y									
@XXXX Gambi soriwoul dh dagn niouy dieulsi😭😭😭😭niou dem Azie		2			1				
🚨🚨🚨 https://t.co/Bndbbaalsi					2				
Gremmy detruit https://t.co/RJogWwmold	2								
@XXXX @XXXX @XXXX @XXXX @XXXX @XXXX @XXXX @XXXX @XXXX @XXXX https://t.co/siQ95DVZ92									
@XXXX Wollah								1	
'@XXXX La prochaine fois faut m''inviter...'	2								
😭😭😭😭 rip plus de 5000 thiouth ont perdu la vie ce matin https://t.co/NF075ZN5zH	2	1			1				
Amine 🙏🏾❤️ Niou bokk lepp In Shaa Allah 🥺 Doundons ❤️❤️❤️ https://t.co/DwlsNPxijH		2		1	1				
Il sont à la recherche de leur futur Messi ndeysane.  Ils nous gavent avec leur Gavi. https://t.co/6MPTymNhwt	2	1							
@XXXX @XXXX @XXXX Yemal la wakh 😂		2			1				
Sénégal vs Congo : Nampalys Mendy et Boulaye Dia décryptent le match à chaud... https://t.co/I221t86fSA https://t.co/lnt2kHOuH7	2								
'Pape Gueye sur ses débuts avec les Lions : "J''attendais ce moment... je suis entré sans pression"… https://t.co/HMYdnhTgQD'	2								
@XXXX @XXXX Rouss massi 😭😭😂		2			2				
@XXXX Yaw ak sa mbok yi si commentaires yi		2							commentaires
Ichibei high diff https://t.co/Kh5vkDo8d6			2					1	
Qui coupe des oignons par ici 🥺🥺🤧 ?? Je t’aime ❤️🥺 linga wax yeup si iow la nek mon amour https://t.co/JUYw6UeTsg	2	1			1				
Investissez dans le starlink. Bonne nuit	2								
Let’s gooooooo🥰🥳 https://t.co/SaiQzrWdO6			2		1				
@XXXX Daga bipolaire😭😭😭😭😭😭😂😂😂😂	1	1			2				
@XXXX En yeah je vois	2		1						
@XXXX Kay ma takla bok		2							
@XXXX @XXXX @XXXX BTC 104K$								1	
@XXXX Att yi moo gaaw si bopam		2							
@XXXX Messi n’a rien demandé pourquoi mettre son nom la dedans ? Et puis toi le grand mytho tu me parles-tu vérité qui fait mal 😂😂	2								
@XXXX Si I know	1		2						
Yvi va pas aimé dh🤣🤣🤣🤣🤣🤣 #primud2021	2	1			2				dh
Baba couture 773753943 https://t.co/PXfEngmxRE	2								
Ah kone lii la wakh eeeh Allah https://t.co/fBIwMi9W1Z		2		1					Allah
@XXXX Ahaha damako guedj def		2						1	
@XXXX Assane dirimaaaa 😂😂😂😂😂					2				
Des pédophiles de 🤬	2	1			1				de
@XXXX 😂😂😂 ce sont en général des cousinages par alliance; ça se gère 😂👌🏾	2				1				
Schizophrène ba ngui ha ha ha https://t.co/epT74PCNxu		2							schizophrene
@XXXX @XXXX Continue rekk bama keppla	1	2							continue
@XXXX @XXXX @XXXX @XXXX @XXXX @XXXX @XXXX @XXXX https://t.co/K1leuFYj6M									
